,Naver,Class,Year,Abbr,Name,Language,City,Address,Homepage,Tel,PK,K,Range
1,Link,외국인학교 - 영어,1978,SFS,서울외국인학교,영어,서울,서대문구 연희동,www.seoulforeign.org,02-330-3100,,Y,K ~ 12
2,Link,외국인학교 - 영어,1983,SAIS,서울아카데미국제학교,영어,서울,강남구 대치동,www.seoulacademy.net,02-554-1690,,Y,K ~ 8
3,Link,외국인학교 - 영어,1993,KKFS,한국켄트외국인학교,영어,서울,광진구 구의동,www.kkfs.org,02-2201-7091,,Y,K ~ 12
4,Link,외국인학교 - 영어,1997,GCFS,지구촌기독외국인학교,영어,서울,용산구 한남동,www.gcfskorea.org,02-797-0234,,Y,K ~ 12
5,Link,외국인학교 - 영어,1999,KIS,한국외국인학교 서울캠퍼스,영어,서울,강남구 개포동,http://kisseoul.org/,02-3496-0514,Y,Y,PK ~ 5
6,Link,외국인학교 - 영어,1989,CCS,센테니얼크리스천스쿨,영어,서울,용산구 용산동,www.ccslions.com,02-772-9275,,Y,K ~ 12
7,Link,외국인학교 - 영어,1990,YISS,서울용산국제학교,영어,서울,용산구 한남동,www.yisseoul.org,02-797-5104,,Y,K ~ 12
8,Link,외국인학교 - 영어,2007,RIS,레인보우외국인학교,영어,서울,서초구 양재동,www.rischool.org,02-571-2917,,Y,K ~ 8
9,Link,외국인학교 - 영어,2006,APIS,아시아퍼시픽국제외국인학교,영어,서울,노원구 월계2동,www.apis.seoul.kr,02-907-2747,,Y,K ~ 12
10,Link,외국인학교 - 영어,2010,DCS,덜위치칼리지서울영국학교,영어,서울,서초구 ,http://www.dulwich-seoul.kr/,02-3015-8517,Y,Y,PK ~ G13
11,Link,외국인학교 - 영어,2012,DSS,서울드와이트외국인학교,영어,서울,마포구 상암동,http://www.dwight.or.kr/,02-6920-8600,Y,Y,PK ~ 12
12,Link,외국인학교 - 영어,1990,ICS PTA,평택크리스천외국인학교,영어,경기,평택시,http://www.icsptk.org/,031-651-1376,N,Y,K ~ 12
13,Link,외국인학교 - 영어,2006,KIS Pangyo,한국외국인학교 판교캠퍼스,영어,경기,성남시 분당구 백현동,http://www.kis.kr/,031-789-0509,Y,Y,PK ~ 12
14,Link,외국인학교 - 영어,1983,ICS UJB,국제크리스쳔학교,영어,경기,의정부시 녹양동,www.ics-ujb.org,031-855-1277,,Y,K ~ 12
15,Link,외국인학교 - 영어,2006,GSIS,경기수원외국인학교,영어,경기,수원시 영통구 영통동,www.gsis.sc.kr,031-695-2800,,Y,K ~ 12
16,Link,외국인학교 - 영어,1973,SIS,서울국제학교,영어,경기,성남시 수정구 복정동,www.siskorea.org,031-750-1200,,Y,K ~ 12
17,Link,외국인학교 - 영어,2011,CDS,청라달튼외국인학교,영어,인천,인천 서구 경서동,daltonschool.kr,032-563-0523,,Y,K ~ 12
18,Link,외국인학교 - 영어,1996,BFS,부산외국인학교,영어,부산,해운대구 좌동,www.busanforeignschool.org,051-747-7199,,Y,K ~ 12
19,Link,외국인학교 - 영어,1983,BIFS,부산국제외국인학교,영어,부산,해운대구 중2동,www.bifskorea.org,051-742-3332,,Y,K ~ 12
20,Link,외국인학교 - 영어,1999,KFS,광주외국인학교,영어,광주,북구 양산,www.kwangjuforeignschool.org,062-575-0900,,Y,K ~ 12
21,Link,외국인학교 - 영어,1958,TCIS,대전외국인학교,영어,대전,대덕구 오정동,www.tcis.or.kr,042-633-3663,,Y,K ~ 12
22,Link,외국인학교 - 영어,1982,HFS,현대외국인학교,영어,울산,동구 서부동,hyundaiforeignschool.com,052-250-2851,,Y,K ~ 9
23,Link,외국인학교 - 영어,2002,OIS,거제국제외국인학교,영어,경남,거제시 옥포1동,http://www.iskoje.org/,055-687-3283,,Y,K ~ 9
24,Link,외국인학교 - 영어,2003,GIFS,경남국제외국인학교,영어,경남,사천시 사남면 월성리,www.gifs.or.kr,055-853-5125,Y,Y,PK ~ G12
25,Link,외국교육기관(유·초·중등) ,2010,CI,채드윅송도국제학교,영어,인천,인천시 영서구 송도동,www.chadwickinternational.org,032-250-5000,Y,Y,PK ~ 12
26,Link,외국교육기관(유·초·중등) ,2010,DIS,대구국제학교,영어,대구,동구 봉무동,dis.or.kr,053-980-2100,Y,Y,PK ~ 11
27,Link,제주국제학교,2011,KIS Jeju,한국국제학교 제주캠퍼스,영어,제주,서귀포시 대정읍,http://www.kis.ac/,064-741-0509,Y,Y,PK ~ 12
28,Link,제주국제학교,2011,NLCS Jeju,노스런던컬리지에잇스쿨 제주,영어,제주,서귀포시 대정읍,www.nlcsjeju.co.kr,064-793-8000,Y,Y,PK ~ 12
29,Link,제주국제학교,2012,BHA,브랭섬홀 아시아,영어,제주,서귀포시 대정읍,branksome.asia,02-6456-8405,Y,Y,PK ~ 12
30,Link,국제중학교,1977,DIS,대원국제중학교,영어,서울,광진구 중곡동,www.daewon.ms.kr,02-2204-1592,N,N,7 ~ 9
31,Link,국제중학교,1965,YHIMS,영훈국제중학교,영어,서울,강북구 도봉로,www.younghoon.ms.kr,02-988-2132,N,N,7 ~ 9
32,Link,국제중학교,2006,CIA,청심국제중학교,영어,경기,가평군 설악면,www.csia.hs.kr,031-589-8900,N,N,7 ~ 9
