Abbr,Class,Language,City,Address,Year,Name,Homepage,Start,End,TuitionYear,TuitionData,KRW,USD,Email,Tel,Discount,설립형태,내국인입학제한,Etc,Christian,Dorm
SFS,외국인학교 - 영어,영어,서울,서대문구 연희동,1978,서울외국인학교,http://www.seoulforeign.org ,0,12,2015-2016,http://www.seoulforeign.org/uploaded/SFSwide/PDFs/TuitFeeSchedule16-17.pdf ,2025,8770,,02-330-3100,,사립,,,,
SAIS,외국인학교 - 영어,영어,서울,강남구 대치동,1983,서울아카데미국제학교,http://www.seoulacademy.net ,0,8,2015-2016,http://www.seoulacademy.net/fees-and-related-policies.html ,2550,0,sais5541690@hanmail.net,02-554-1690,,사립,,,,
KKFS,외국인학교 - 영어,영어,서울,광진구 구의동,1993,한국켄트외국인학교,http://www.kkfs.org ,0.5,12,2015-2016,http://www.kkfs.org/xe/TuitionFees ,1810,0,kkfs@kkfs.org,02-2201-7091,둘째부터 15% discount,사립,,,,
GCFS,외국인학교 - 영어,영어,서울,용산구 한남동,1997,지구촌기독외국인학교,http://www.gcfskorea.org ,0.5,12,2015-2016,http://www.gcfskorea.org/tuition.html ,950,5000,,02-797-0234,,사립,,,,
KIS,외국인학교 - 영어,영어,서울,강남구 개포동,1999,한국외국인학교 서울캠퍼스,http://kisseoul.org ,0,5,2015-2016,http://kisseoul.org/?page_id=4447 ,1689,8370,,02-3496-0514,,사립,,,,
YISS,외국인학교 - 영어,영어,서울,용산구 한남동,1990,서울용산국제학교,http://www.yisseoul.org ,0.5,12,2016-2017,http://www.yisseoul.org/uploaded/Admissions/1617/Tuition-Financial-Information-Preliminary-20160129-16-17.pdf ,1850,2400,,02-797-5104,,사립,,Christian,TRUE,
RIS,외국인학교 - 영어,영어,서울,서초구 양재동,2007,레인보우외국인학교,http://www.rischool.org ,1,8,2016-2017,http://www.rischool.org/admissions/tuition-and-fees/ ,2090,0,,02-571-2917,,사립,,,,
APIS,외국인학교 - 영어,영어,서울,노원구 월계2동,2006,아시아퍼시픽국제외국인학교,http://www.apis.seoul.kr ,0,12,2016-2017,http://www.apis.seoul.kr/admissions/tuition-and-fees/ ,1630,5500,,02-907-2747,,사립,,APIS Hawaii,,
DCS,외국인학교 - 영어,영어,서울,서초구 ,2010,덜위치칼리지서울영국학교,http://www.dulwich-seoul.kr/ ,0,13,2016-2017,http://www.dulwich-seoul.kr/page.cfm?p=700 ,3028,0,,02-3015-8517,,사립,,,,
DSS,외국인학교 - 영어,영어,서울,마포구 상암동,2012,서울드와이트외국인학교,http://www.dwight.or.kr/ ,0,12,2016-2017,http://www.dwight.or.kr/admissions/tuition-fees ,2704,0,,02-6920-8600,,사립,,,,
