RANK,UNIV,COUNTRY,Students,SSRatio,IntlStudent,FMRatio,LINK
1,California Institute of Technology,United States of America,2243,6.9,27%,33 : 67,https://www.timeshighereducation.com/world-university-rankings/california-institute-technology?ranking-dataset=133819 
2,University of Oxford,United Kingdom,19919,11.6,34%,46 : 54,https://www.timeshighereducation.com/world-university-rankings/university-of-oxford?ranking-dataset=133819 
3,Stanford University,United States of America,15596,7.8,22%,42 : 58,https://www.timeshighereducation.com/world-university-rankings/stanford-university?ranking-dataset=133819 
4,University of Cambridge,United Kingdom,18812,11.8,34%,46 : 54,https://www.timeshighereducation.com/world-university-rankings/university-of-cambridge?ranking-dataset=133819 
5,Massachusetts Institute of Technology,United States of America,11074,9,33%,37 : 63,https://www.timeshighereducation.com/world-university-rankings/massachusetts-institute-of-technology?ranking-dataset=133819 
6,Harvard University,United States of America,20152,8.9,25%,,https://www.timeshighereducation.com/world-university-rankings/harvard-university?ranking-dataset=133819 
7,Princeton University,United States of America,7929,8.4,27%,45 : 55,https://www.timeshighereducation.com/world-university-rankings/princeton-university?ranking-dataset=133819 
8,Imperial College London,United Kingdom,15060,11.7,51%,37 : 63,https://www.timeshighereducation.com/world-university-rankings/imperial-college-london?ranking-dataset=133819 
9,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,18178,14.7,37%,31 : 69,https://www.timeshighereducation.com/world-university-rankings/eth-zurich-swiss-federal-institute-of-technology-zurich?ranking-dataset=133819 
10,University of Chicago,United States of America,14221,6.9,21%,42 : 58,https://www.timeshighereducation.com/world-university-rankings/university-of-chicago?ranking-dataset=133819 
11,Johns Hopkins University,United States of America,15128,3.6,23%,50 : 50,https://www.timeshighereducation.com/world-university-rankings/johns-hopkins-university?ranking-dataset=133819 
12,Yale University,United States of America,11751,4.4,20%,50 : 50,https://www.timeshighereducation.com/world-university-rankings/yale-university?ranking-dataset=133819 
13,"University of California, Berkeley",United States of America,36186,16.4,15%,50 : 50,https://www.timeshighereducation.com/world-university-rankings/university-of-california-berkeley?ranking-dataset=133819 
14,University College London,United Kingdom,26607,10.7,46%,56 : 44,https://www.timeshighereducation.com/world-university-rankings/university-college-london?ranking-dataset=133819 
15,Columbia University,United States of America,25055,5.9,28%,,https://www.timeshighereducation.com/world-university-rankings/columbia-university?ranking-dataset=133819 
16,"University of California, Los Angeles",United States of America,38206,10.3,15%,52 : 48,https://www.timeshighereducation.com/world-university-rankings/university-of-california-los-angeles?ranking-dataset=133819 
17,University of Pennsylvania,United States of America,20376,6.5,20%,51 : 49,https://www.timeshighereducation.com/world-university-rankings/university-of-pennsylvania?ranking-dataset=133819 
18,Cornell University,United States of America,21424,10.2,19%,48 : 52,https://www.timeshighereducation.com/world-university-rankings/cornell-university?ranking-dataset=133819 
19,University of Toronto,Canada,66198,19.5,15%,,https://www.timeshighereducation.com/world-university-rankings/university-of-toronto?ranking-dataset=133819 
20,Duke University,United States of America,15172,4.8,17%,49 : 51,https://www.timeshighereducation.com/world-university-rankings/duke-university?ranking-dataset=133819 
21,University of Michigan,United States of America,41786,9,16%,48 : 52,https://www.timeshighereducation.com/world-university-rankings/university-of-michigan?ranking-dataset=133819 
22,Carnegie Mellon University,United States of America,11885,13.1,35%,39 : 61,https://www.timeshighereducation.com/world-university-rankings/carnegie-mellon-university?ranking-dataset=133819 
