RANK,UNIV,COUNTRY,LINK
1,California Institute of Technology,United States of America,https://www.timeshighereducation.com/world-university-rankings/california-institute-technology?ranking-dataset=133819 
2,University of Oxford,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/university-of-oxford?ranking-dataset=133819 
3,Stanford University,United States of America,https://www.timeshighereducation.com/world-university-rankings/stanford-university?ranking-dataset=133819 
4,University of Cambridge,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/university-of-cambridge?ranking-dataset=133819 
5,Massachusetts Institute of Technology,United States of America,https://www.timeshighereducation.com/world-university-rankings/massachusetts-institute-of-technology?ranking-dataset=133819 
6,Harvard University,United States of America,https://www.timeshighereducation.com/world-university-rankings/harvard-university?ranking-dataset=133819 
7,Princeton University,United States of America,https://www.timeshighereducation.com/world-university-rankings/princeton-university?ranking-dataset=133819 
8,Imperial College London,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/imperial-college-london?ranking-dataset=133819 
9,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,https://www.timeshighereducation.com/world-university-rankings/eth-zurich-swiss-federal-institute-of-technology-zurich?ranking-dataset=133819 
10,University of Chicago,United States of America,https://www.timeshighereducation.com/world-university-rankings/university-of-chicago?ranking-dataset=133819 
11,Johns Hopkins University,United States of America,https://www.timeshighereducation.com/world-university-rankings/johns-hopkins-university?ranking-dataset=133819 
12,Yale University,United States of America,https://www.timeshighereducation.com/world-university-rankings/yale-university?ranking-dataset=133819 
13,"University of California, Berkeley",United States of America,https://www.timeshighereducation.com/world-university-rankings/university-of-california-berkeley?ranking-dataset=133819 
14,University College London,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/university-college-london?ranking-dataset=133819 
15,Columbia University,United States of America,https://www.timeshighereducation.com/world-university-rankings/columbia-university?ranking-dataset=133819 
16,"University of California, Los Angeles",United States of America,https://www.timeshighereducation.com/world-university-rankings/university-of-california-los-angeles?ranking-dataset=133819 
17,University of Pennsylvania,United States of America,https://www.timeshighereducation.com/world-university-rankings/university-of-pennsylvania?ranking-dataset=133819 
18,Cornell University,United States of America,https://www.timeshighereducation.com/world-university-rankings/cornell-university?ranking-dataset=133819 
19,University of Toronto,Canada,https://www.timeshighereducation.com/world-university-rankings/university-of-toronto?ranking-dataset=133819 
20,Duke University,United States of America,https://www.timeshighereducation.com/world-university-rankings/duke-university?ranking-dataset=133819 
21,University of Michigan,United States of America,https://www.timeshighereducation.com/world-university-rankings/university-of-michigan?ranking-dataset=133819 
22,Carnegie Mellon University,United States of America,https://www.timeshighereducation.com/world-university-rankings/carnegie-mellon-university?ranking-dataset=133819 
23,London School of Economics and Political Science,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/london-school-of-economics-and-political-science?ranking-dataset=133819 
24,University of Edinburgh,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/university-of-edinburgh?ranking-dataset=133819 
25,Northwestern University,United States of America,https://www.timeshighereducation.com/world-university-rankings/northwestern-university?ranking-dataset=133819 
26,National University of Singapore,Singapore,https://www.timeshighereducation.com/world-university-rankings/national-university-of-singapore?ranking-dataset=133819 
27,King’s College London,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/kings-college-london?ranking-dataset=133819 
