""
"19,919", "11.6", "34%", "46 : 54", ""
"2,243", "6.9", "27%", "33 : 67", ""
"15,596", "7.8", "22%", "42 : 58", ""
"18,812", "11.8", "34%", "46 : 54", ""
"11,074", "9", "33%", "37 : 63", ""
"20,152", "8.9", "25%", "", ""
"7,929", "8.4", "27%", "45 : 55", ""
"15,060", "11.7", "51%", "37 : 63", ""
"18,178", "14.7", "37%", "31 : 69", ""
"36,186", "16.4", "15%", "50 : 50", ""
"14,221", "6.9", "21%", "42 : 58", ""
"11,751", "4.4", "20%", "50 : 50", ""
"20,376", "6.5", "20%", "51 : 49", ""
"38,206", "10.3", "15%", "52 : 48", ""
"26,607", "10.7", "46%", "56 : 44", ""
"25,055", "5.9", "28%", "", ""
"15,128", "3.6", "23%", "50 : 50", ""
"15,172", "4.8", "17%", "49 : 51", ""
"21,424", "10.2", "19%", "48 : 52", ""
"18,334", "13.8", "15%", "48 : 52", ""
"41,786", "9", "16%", "48 : 52", ""
"66,198", "19.5", "15%", "", ""
"11,885", "13.1", "35%", "39 : 61", ""
"38,000", "15.8", "", "49 : 51", ""
"9,233", "12.1", "70%", "53 : 47", ""
"44,020", "11.8", "13%", "53 : 47", ""
"25,774", "14.1", "36%", "58 : 42", ""
"7,774", "11.5", "22%", "70 : 30", ""
"40,148", "8.3", "14%", "53:47", ""
"9,666", "10.5", "54%", "27 : 73", ""
"35,691", "15.5", "13%", "62 : 38", ""
"42,056", "6.8", "19%", "55 : 45", ""
"19,967", "20.1", "26%", "31 : 69", ""
"40,128", "23.7", "35%", "55 : 45", ""
"39,763", "13.7", "10%", "32 : 68", ""
"50,152", "17.6", "25%", "54 : 46", ""
"42,727", "18.7", "20%", "47 : 53", ""
"21,394", "11.4", "37%", "61 : 39", ""
"26,199", "5.7", "10%", "", ""
"42,503", "41.9", "18%", "54 : 46", ""
"27,233", "6.5", "11%", "48 : 52", ""
"31,326", "13.7", "23%", "56 : 44", ""
"28,881", "24.5", "17%", "55 : 45", ""
"19,835", "17.6", "38%", "53 : 47", ""
"39,655", "10.8", "11%", "51 : 49", ""
"35,565", "31.5", "20%", "33 : 67", ""
"14,604", "19.2", "35%", "52 : 48", ""
"22,020", "27.3", "11%", "52 : 48", ""
"11,385", "23.8", "36%", "", ""
"49,427", "17.4", "9%", "51 : 49", ""
"8,653", "10.1", "19%", "", ""
"35,364", "13.9", "13%", "54 : 46", ""
"46,825", "18", "13%", "52 : 48", ""
"25,028", "16.2", "33%", "48 : 52", ""
"34,938", "15.3", "34%", "52 : 48", ""
"26,518", "7.3", "8%", "58 : 42", ""
"29,987", "52.5", "16%", "", ""
"12,528", "5.7", "17%", "", ""
"15,920", "19.4", "25%", "26 : 74", ""
"34,718", "32.7", "27%", "53 : 47", ""
"36,534", "12.9", "20%", "52 : 48", ""
"60,711", "20", "28%", "57 : 43", ""
"24,570", "14.4", "11%", "53 : 47", ""
"24,789", "8.6", "17%", "58 : 42", ""
"9,248", "17", "21%", "56 : 44", ""
"2,400", "7.9", "20%", "46 : 54", ""
"31,331", "8.4", "9%", "48 : 52", ""
"44,501", "12.4", "12%", "46 : 54", ""
"26,212", "18.9", "21%", "48 : 52", ""
"39,256", "18.1", "22%", "42 : 58", ""
"17,906", "14", "25%", "53 : 47", ""
"51,462", "13.4", "12%", "49 : 51", ""
"26,389", "13.9", "10%", "", ""
"50,882", "40.5", "36%", "56 : 44", ""
"33,062", "39.3", "20%", "58 : 42", ""
"17,916", "10.2", "22%", "53 : 47", ""
"21,222", "17.1", "10%", "59 : 41", ""
"39,479", "25.9", "27%", "47 : 53", ""
"37,917", "27.6", "16%", "31 : 69", ""
"30,000", "25.6", "15%", "52 : 48", ""
"26,485", "5.8", "10%", "51 : 49", ""
"6,178", "6.6", "16%", "47 : 53", ""
"12,338", "4.5", "18%", "56 : 44", ""
"18,529", "16.6", "37%", "48 : 52", ""
"30,779", "15.4", "7%", "59 : 41", ""
"6,333", "9", "26%", "44 : 56", ""
"22,616", "16", "29%", "57 : 43", ""
"9,027", "10", "9%", "20 : 80", ""
"28,327", "38.9", "12%", "58 : 42", ""
"23,505", "15.1", "6%", "66 : 34", ""
"22,809", "5.6", "7%", "", ""
"25,266", "18.2", "12%", "57 : 43", ""
"15,626", "18.9", "48%", "56 : 44", ""
"26,467", "31.2", "16%", "52 : 48", ""
"15,489", "15.7", "24%", "54 : 46", ""
"28,251", "11.5", "15%", "", ""
"23,895", "13.6", "14%", "54 : 46", ""
"12,551", "17.3", "24%", "54 : 46", ""
"26,614", "16.1", "16%", "52 : 48", ""
"44,750", "15.7", "15%", "51 : 49", ""
"11,761", "85.8", "15%", "55 : 45", ""
"38,264", "20.3", "25%", "57 : 43", ""
"15,408", "8.5", "14%", "53 : 47", ""
"3,055", "10.1", "4%", "20 : 80", ""
"26,583", "6.5", "19%", "57 : 43", ""
"36,299", "21.6", "23%", "55 : 45", ""
"12,161", "3.6", "10%", "52 : 48", ""
"23,311", "15.5", "31%", "50 : 50", ""
"14,708", "22.5", "14%", "54 : 46", ""
"8,338", "12.7", "47%", "56 : 44", ""
"25,581", "25.6", "12%", "51 : 49", ""
"32,474", "70.4", "13%", "55 : 45", ""
"23,823", "19.3", "15%", "53 : 47", ""
"14,260", "14", "40%", "52 : 48", ""
"29,325", "16.1", "8%", "45 : 55", ""
"2,429", "4.8", "30%", "18 : 82", ""
"32,166", "34.1", "9%", "57 : 43", ""
"10,015", "7.1", "28%", "51 : 49", ""
"27,545", "4.1", "19%", "67 : 33", ""
"27,862", "8.7", "18%", "48 : 52", ""
"17,713", "13", "10%", "58 : 42", ""
"20,925", "13.5", "29%", "53 : 47", ""
"23,845", "10.2", "12%", "52 : 48", ""
"20,851", "20.7", "27%", "50 : 50", ""
"9,259", "6.4", "17%", "48 : 52", ""
"17,755", "18.8", "28%", "54 : 46", ""
"28,856", "42", "19%", "54 : 46", ""
"14,543", "15.8", "26%", "55 : 45", ""
"25,295", "16.4", "23%", "54 : 46", ""
"83,236", "29.9", "9%", "50 : 50", ""
"27,139", "18.8", "18%", "", ""
"27,703", "14.7", "21%", "58 : 42", ""
"50,095", "18.7", "9%", "54 : 46", ""
"10,410", "10", "14%", "54 : 46", ""
"9,187", "11.2", "10%", "47 : 53", ""
"15,668", "15", "39%", "61 : 39", ""
"11,512", "14.9", "33%", "52 : 48", ""
"462", "16.5", "5%", "28 : 72", ""
"24,365", "20.3", "9%", "39 : 61", ""
"37,032", "17.3", "8%", "51 : 49", ""
"20,771", "30.1", "26%", "48 : 52", ""
"11,829", "13.8", "10%", "44 : 56", ""
"25,294", "24.6", "16%", "26 : 74", ""
"31,715", "23.7", "8%", "62 : 38", ""
"17,404", "22.7", "1%", "53 : 47", ""
"30,144", "15", "27%", "54 : 46", ""
"20,040", "12.1", "18%", "53 : 47", ""
"12,001", "17.4", "35%", "54 : 46", ""
"62,468", "13.6", "13%", "53 : 47", ""
"11,964", "13.1", "22%", "", ""
"9,390", "4.5", "26%", "49 : 51", ""
"14,290", "7.9", "2%", "", ""
"6,631", "12", "26%", "37 : 63", ""
"32,175", "12.2", "11%", "50 : 50", ""
"36,429", "12.7", "8%", "52 : 48", ""
"23,280", "16.3", "6%", "56 : 44", ""
"18,815", "13.6", "30%", "52 : 48", ""
"12,062", "14.6", "21%", "30 : 70", ""
"36,146", "53.9", "9%", "49 : 51", ""
"39,838", "46.1", "8%", "53 : 47", ""
"34,651", "20.5", "25%", "67 : 33", ""
"48,881", "12.3", "17.6%", "59 : 41", ""
"35,487", "37.4", "12%", "42 : 58", ""
"29,787", "18.9", "28%", "54 : 46", ""
"20,626", "22", "12%", "51 : 49", ""
"14,992", "14.7", "28%", "58 : 42", ""
"56,959", "13", "11%", "49 : 51", ""
"50,657", "21.4", "9%", "47 : 53", ""
"43,280", "43.4", "11%", "60 : 40", ""
"26,420", "16.4", "12%", "", ""
"14,541", "13.4", "35%", "54 : 46", ""
"8,747", "15.9", "37%", "57 : 43", ""
"30,726", "24.2", "14%", "45 : 55", ""
"10,901", "18.3", "13%", "59 : 41", ""
"9,990", "5", "18%", "27 : 73", ""
"8,176", "16", "14%", "19 : 81", ""
"5,144", "15.9", "52%", "50 : 50", ""
"27,603", "15", "17%", "", ""
"11,628", "15.3", "25%", "60 : 40", ""
"23,347", "13.1", "23%", "57 : 43", ""
"15,286", "5.7", "14%", "50 : 50", ""
"18,539", "15.1", "26%", "50 : 50", ""
"23,321", "18.6", "9%", "56 : 44", ""
"17,612", "10.7", "5%", "55 : 45", ""
"26,576", "38.4", "8%", "57 : 43", ""
"12,938", "15.8", "33%", "54 : 46", ""
"30,822", "7.7", "20%", "43 : 57", ""
"24,696", "15.2", "29%", "50 : 50", ""
"769", "8.5", "17%", "35 : 65", ""
"22,064", "25.9", "26%", "51 : 49", ""
"12,050", "14.8", "28%", "55 : 45", ""
"10,930", "59.1", "12%", "54 : 46", ""
"28,341", "16.5", "17%", "53 : 47", ""
"31,891", "11.9", "7%", "39 : 61", ""
"41,960", "46.6", "19%", "49 : 51", ""
"5,495", "12.6", "22%", "55 : 45", ""
"7,576", "22.4", "10%", "49 : 51", ""
"24,313", "9.2", "17%", "53 : 47", ""
"17,422", "15.9", "15%", "48 : 52", ""
"16,099", "24.2", "17%", "32 : 68", ""
"12,346", "30.3", "16%", "56 : 44", ""
"47,491", "12.2", "10%", "62 : 38", ""
"11,623", "11.1", "12%", "60 : 40", ""
"9,454", "17.2", "38%", "55 : 45", ""
"85,532", "22.9", "7%", "56 : 44", ""
"13,216", "17.4", "19%", "54 : 46", ""
"4,294", "11.7", "30%", "23 : 77", ""
"36,108", "15.7", "6%", "54 : 46", ""
"19,262", "15.9", "10%", "56 : 44", ""
