1	University of Oxford
2	California Institute of Technology
3	Stanford University
4	University of Cambridge
5	Massachusetts Institute of Technology
6	Harvard University
7	Princeton University
8	Imperial College London
9	ETH Zurich – Swiss Federal Institute of Technology Zurich
=10	University of California, Berkeley
=10	University of Chicago
12	Yale University
13	University of Pennsylvania
14	University of California, Los Angeles
15	University College London
16	Columbia University
17	Johns Hopkins University
18	Duke University
19	Cornell University
20	Northwestern University
